IAB,Unique ID,Parent,Name,Tier 1,Tier 2,Tier 3,Tier 4,
Togo Content Source Geo Country Togo,1457,1228,Togo,Content Source Geo,Country,Togo,,
Tokelau Content Source Geo Country Tokelau,1458,1228,Tokelau,Content Source Geo,Country,Tokelau,,
Tonga Content Source Geo Country Tonga,1459,1228,Tonga,Content Source Geo,Country,Tonga,,
Trinidad and Tobago Content Source Geo Country Trinidad and Tobago,1460,1228,Trinidad and Tobago,Content Source Geo,Country,Trinidad and Tobago,,
Tunisia Content Source Geo Country Tunisia,1461,1228,Tunisia,Content Source Geo,Country,Tunisia,,
Turkey Content Source Geo Country Turkey,1462,1228,Turkey,Content Source Geo,Country,Turkey,,
Turkmenistan Content Source Geo Country Turkmenistan,1463,1228,Turkmenistan,Content Source Geo,Country,Turkmenistan,,
Tuvalu Content Source Geo Country Tuvalu,1464,1228,Tuvalu,Content Source Geo,Country,Tuvalu,,
U.S. Virgin Islands Content Source Geo Country U.S. Virgin Islands,1465,1228,U.S. Virgin Islands,Content Source Geo,Country,U.S. Virgin Islands,,
Uganda Content Source Geo Country Uganda,1466,1228,Uganda,Content Source Geo,Country,Uganda,,
Ukraine Content Source Geo Country Ukraine,1467,1228,Ukraine,Content Source Geo,Country,Ukraine,,
United Republic of Tanzania Content Source Geo Country United Republic of Tanzania,1468,1228,United Republic of Tanzania,Content Source Geo,Country,United Republic of Tanzania,,
Uruguay Content Source Geo Country Uruguay,1469,1228,Uruguay,Content Source Geo,Country,Uruguay,,
Uzbekistan Content Source Geo Country Uzbekistan,1470,1228,Uzbekistan,Content Source Geo,Country,Uzbekistan,,
Vanuatu Content Source Geo Country Vanuatu,1471,1228,Vanuatu,Content Source Geo,Country,Vanuatu,,
Vietnam Content Source Geo Country Vietnam,1472,1228,Vietnam,Content Source Geo,Country,Vietnam,,
Wallis and Futuna Content Source Geo Country Wallis and Futuna,1473,1228,Wallis and Futuna,Content Source Geo,Country,Wallis and Futuna,,
Western Sahara Content Source Geo Country Western Sahara,1474,1228,Western Sahara,Content Source Geo,Country,Western Sahara,,
Yemen Content Source Geo Country Yemen,1475,1228,Yemen,Content Source Geo,Country,Yemen,,
Zambia Content Source Geo Country Zambia,1476,1228,Zambia,Content Source Geo,Country,Zambia,,
Zimbabwe Content Source Geo Country Zimbabwe,1477,1228,Zimbabwe,Content Source Geo,Country,Zimbabwe,,
Region/State Content Source Geo Region/State,1478,1219,Region/State,Content Source Geo,Region/State,,,
Metro Content Source Geo Metro,1479,1219,Metro,Content Source Geo,Metro,,,
City Content Source Geo City,1480,1219,City,Content Source Geo,City,,,
